"","x","y","P"
"1",837441.576,7584372.557,31
"2",837540.509,7584376.452,22
"3",837639.442,7584380.348,49
"4",837738.374,7584384.243,23
"5",837837.307,7584388.138,46
"6",837936.239,7584392.034,64
"7",837440.901,7584273.627,32
"8",837643.337,7584281.415,29
"9",837841.202,7584289.206,29
"10",837350.434,7584170.795,35
"11",837449.367,7584174.691,27
"12",837548.3,7584178.587,31
"13",837647.233,7584182.482,19
"14",837746.165,7584186.378,48
"15",837283.455,7584067.372,34
"16",837453.263,7584075.758,55
"17",837651.128,7584083.55,24
"18",837259.293,7583969.033,35
"19",837358.226,7583972.929,35
"20",837457.159,7583976.825,30
"21",837556.092,7583980.721,38
"22",837655.024,7583984.617,62
"23",837263.189,7583870.1,28
"24",837461.055,7583877.892,30
"25",837172.845,7583776.79,44
"26",837271.778,7583780.687,31
"27",837370.711,7583784.583,38
"28",837469.644,7583788.479,25
"29",837568.577,7583792.375,30
"30",837270.981,7583672.234,20
"31",837468.847,7583680.026,11
"32",837666.713,7583687.819,19
"33",837102.722,7583560.153,13
"34",837175.944,7583569.404,17
"35",837274.878,7583573.3,20
"36",837373.811,7583577.197,15
"37",837472.744,7583581.093,10
"38",837571.677,7583584.99,9
"39",837670.609,7583588.887,14
"40",837080.908,7583466.574,32
"41",837278.774,7583474.367,13
"42",837476.64,7583482.161,17
"43",837674.506,7583489.954,17
"44",837011.582,7583358.39,37
"45",837084.804,7583367.64,18
"46",837183.738,7583371.537,13
"47",837282.671,7583375.434,17
"48",837381.604,7583379.331,10
"49",837480.537,7583383.228,18
"50",837579.47,7583387.125,10
"51",837678.403,7583391.021,20
"52",837088.701,7583268.707,16
"53",837286.568,7583276.501,28
"54",837484.434,7583284.295,23
"55",836920.442,7583156.625,33
"56",836993.665,7583165.876,18
"57",837092.599,7583169.773,42
"58",837191.532,7583173.67,18
"59",837290.465,7583177.567,26
"60",837389.398,7583181.465,23
"61",837488.331,7583185.362,12
"62",837587.264,7583189.259,19
"63",836898.628,7583063.045,27
"64",837096.496,7583070.84,46
"65",837294.362,7583078.634,22
"66",837492.229,7583086.429,16
"67",836829.303,7582954.86,80
"68",836902.526,7582964.111,56
"69",837001.46,7582968.009,33
"70",837100.393,7582971.906,16
"71",837199.327,7582975.804,19
"72",837298.26,7582979.701,18
"73",837397.193,7582983.599,27
"74",837496.126,7582987.496,31
"75",837595.059,7582991.394,49
"76",837357.481,7584269.496,26
"77",837544.404,7584277.519,24
"78",837742.27,7584285.31,28
"79",837354.33,7584071.862,26
"80",837552.196,7584079.654,21
"81",837362.122,7583873.996,25
"82",837559.988,7583881.788,28
"83",837172.048,7583668.337,17
"84",837369.914,7583676.13,28
"85",837567.78,7583683.923,15
"86",837179.841,7583470.47,11
"87",837377.707,7583478.264,13
"88",837575.573,7583486.057,21
"89",836989.768,7583264.81,23
"90",837185.546,7583272.521,21
"91",837385.501,7583280.398,14
"92",837583.367,7583288.192,31
"93",836997.562,7583066.942,16
"94",837195.429,7583074.737,16
"95",837393.296,7583082.532,21
"96",837591.161,7583090.326,15
