"","x","y","BS"
"1",837441.576,7584372.557,84
"2",837540.509,7584376.452,82
"3",837639.442,7584380.348,88
"4",837738.374,7584384.243,77
"5",837837.307,7584388.138,82
"6",837936.239,7584392.034,84
"7",837440.901,7584273.627,78
"8",837643.337,7584281.415,85
"9",837841.202,7584289.206,79
"10",837350.434,7584170.795,87
"11",837449.367,7584174.691,85
"12",837548.3,7584178.587,87
"13",837647.233,7584182.482,83
"14",837746.165,7584186.378,85
"15",837283.455,7584067.372,86
"16",837453.263,7584075.758,86
"17",837651.128,7584083.55,80
"18",837259.293,7583969.033,81
"19",837358.226,7583972.929,85
"20",837457.159,7583976.825,86
"21",837556.092,7583980.721,86
"22",837655.024,7583984.617,88
"23",837263.189,7583870.1,86
"24",837461.055,7583877.892,82
"25",837172.845,7583776.79,88
"26",837271.778,7583780.687,87
"27",837370.711,7583784.583,85
"28",837469.644,7583788.479,80
"29",837568.577,7583792.375,85
"30",837270.981,7583672.234,80
"31",837468.847,7583680.026,84
"32",837666.713,7583687.819,84
"33",837102.722,7583560.153,66
"34",837175.944,7583569.404,74
"35",837274.878,7583573.3,81
"36",837373.811,7583577.197,79
"37",837472.744,7583581.093,78
"38",837571.677,7583584.99,62
"39",837670.609,7583588.887,77
"40",837080.908,7583466.574,69
"41",837278.774,7583474.367,62
"42",837476.64,7583482.161,84
"43",837674.506,7583489.954,85
"44",837011.582,7583358.39,83
"45",837084.804,7583367.64,81
"46",837183.738,7583371.537,77
"47",837282.671,7583375.434,77
"48",837381.604,7583379.331,71
"49",837480.537,7583383.228,82
"50",837579.47,7583387.125,74
"51",837678.403,7583391.021,80
"52",837088.701,7583268.707,71
"53",837286.568,7583276.501,85
"54",837484.434,7583284.295,84
"55",836920.442,7583156.625,84
"56",836993.665,7583165.876,74
"57",837092.599,7583169.773,83
"58",837191.532,7583173.67,81
"59",837290.465,7583177.567,88
"60",837389.398,7583181.465,84
"61",837488.331,7583185.362,79
"62",837587.264,7583189.259,85
"63",836898.628,7583063.045,83
"64",837096.496,7583070.84,86
"65",837294.362,7583078.634,84
"66",837492.229,7583086.429,83
"67",836829.303,7582954.86,78
"68",836902.526,7582964.111,77
"69",837001.46,7582968.009,82
"70",837100.393,7582971.906,74
"71",837199.327,7582975.804,80
"72",837298.26,7582979.701,79
"73",837397.193,7582983.599,83
"74",837496.126,7582987.496,85
"75",837595.059,7582991.394,88
"76",837357.481,7584269.496,81
"77",837544.404,7584277.519,82
"78",837742.27,7584285.31,79
"79",837354.33,7584071.862,85
"80",837552.196,7584079.654,79
"81",837362.122,7583873.996,84
"82",837559.988,7583881.788,82
"83",837172.048,7583668.337,73
"84",837369.914,7583676.13,78
"85",837567.78,7583683.923,82
"86",837179.841,7583470.47,64
"87",837377.707,7583478.264,75
"88",837575.573,7583486.057,86
"89",836989.768,7583264.81,68
"90",837185.546,7583272.521,81
"91",837385.501,7583280.398,80
"92",837583.367,7583288.192,84
"93",836997.562,7583066.942,82
"94",837195.429,7583074.737,81
"95",837393.296,7583082.532,81
"96",837591.161,7583090.326,80
